name,matched_on_ot,platform_in_booking_master,url
city island lobster house,City Island Lobster House,website,http://cilobsterhouse.com/
city island yacht club,City Island Yacht Club,website,https://crew.fun/the-yacht-club
clara,Clara,website,https://www.clara-nyc.com/
claudette,Claudette,resy,https://resy.com/cities/new-york-ny/venues/claudette
claudy's kitchen,Claudy’s Kitchen,website,http://www.claudys.com/
claw daddy’s,Claw Daddy's,website,http://www.clawdaddysnyc.com/
clemente's maryland crab house,Clemente's Maryland Crab House,website,http://www.clementescrabhouse.com/
close up,Close Up,website,http://www.kakes.nyc/
coletta,Coletta,resy,https://resy.com/cities/new-york-ny/venues/coletta
commodore ii,Commodore II - East Village,website,https://www.thecommodorebars.com/
comodo,Comodo,website,http://comodonyc.com/
concrete,Concrete,website,http://concrete-brooklyn.com/
cookshop,Cookshop,resy,https://resy.com/cities/new-york-ny/venues/cookshop
coquito blu,Coquito Blu,website,https://www.coquitoblu.com/
corner social,Corner Social,website,http://cornersocialnyc.com/
corner store,The Corner Store,website,https://www.thecornerstoresoho.com/
coszcal de allende restaurant,Coszcal de Allende,website,http://coszcalbk.com/
cote korean steakhouse,COTE Korean Steakhouse,resy,https://resy.com/cities/new-york-ny/venues/cote-nyc
cowgirl seahorse,Cowgirl Seahorse,website,http://www.cowgirlseahorse.com/
crispin's hell's kitchen,Crispin's Hell's Kitchen,website,https://www.crispinshellskitchen.com/
crunchy's,Crunchys,website,https://order.toasttab.com/online/crunchys-kosher-brooklyn
cruz del sur,Cruz del Sur,website,http://www.delsurnyc.com/
cucina 355,Cucina 355,website,http://www.cucina355.com/
cucumber sushi & salad bar,Cucumber Sushi & Salad Bar,website,https://www.cucumbersushi.com/
cuerno,Cuerno - Nueva York,resy,https://resy.com/cities/new-york-ny/venues/cuerno
curry heights,Curry Heights,website,http://curryheights.com/
curry house,Curry House,website,https://www.malacurryhouse.com/
cyan izakaya,Cyan Izakaya,unknown,
cyclo,Cyclo,website,http://www.cyclolic.com/
da adriano,da Adriano,resy,https://resy.com/cities/new-york-ny/venues/da-adriano
da long yi hot pot,Da Long Yi Hot Pot - New York,unknown,
da noi restaurant,Da Noi - Midtown,website,http://danoinyc.com/
da nonna rosa,Da Nonna Rosa,website,http://danonnarosas.com/
daily provisions,Daily Provisions,website,https://dailyprovisions.co/
daily provisions union square,Daily Provisions,website,https://dailyprovisions.co/
dakota's on the cove,Dakota's On The Cove,website,https://dakotasonthecove.com/
dallas bbq restaurant,Dallas BBQ - EVill,website,https://www.dallasbbq.com/times-square
daphne's,Daphne's,website,http://daphnesbrooklyn.com/
dar lbahja,Dar Lbahja,walk_in,
dark bullet sake & oyster bar,Dark Bullet Sake & Oyster Bar,walk_in,
delhi masala,Delhi Masala,website,http://www.delhimasalany.com/
dell'anima,dell'anima,resy,https://resy.com/cities/new-york-ny/venues/dellanima
dept of culture,Dept of Culture,website,https://www.deptofculturebk.com/
desi galli,Desi Galli,website,https://www.desigalli.com/
destefano's steakhouse,DeStefano's Steakhouse,website,http://www.deesteakhouse.com/
dim sum chelsea,Dim Sum Chelsea,website,https://www.dimsumchelsea.com/
dim sum go go,Dim Sum Go Go,website,https://www.dimsumgogonyc.com/
dim sum palace,Dim Sum Palace,website,https://www.dimsumpalace.com/
din tai fung,Din Tai Fung,website,https://dtf.com/en/locations/new-york
dino,Dino,resy,https://resy.com/cities/new-york-ny/venues/dino
disco birdies,Disco Birdies,resy,https://resy.com/cities/new-york-ny/venues/disco-birdies
district saigon,District Saigon,website,http://www.districtsaigonnyc.com/
djon djon,Djon Djon,website,https://www.djondjonbk.com/
dolce vita,Dolce Vita,website,http://dolcevitabrooklyn.com/
dolores,DOLORES,website,http://www.doloresbk.com/
domodomo jersey city,DOMODOMO - Jersey City,website,https://www.domodomorestaurant.com/domodomojc
don giovanni ristorante,Don Giovanni Ristorante - Sheraton Pilar Hotel & Convention Center,website,https://dongiovanni-ny.com/
don pancho villa,Don Pancho Villa,website,https://don-pancho-villa.shop/
double dragon,Double Dragon,walk_in,
draught 55,Draught 55,website,http://draught55.com/
drift in,Drift In,website,https://crewny.com/drift-in
duane park,Duane Park,website,https://www.duaneparknyc.com/
due restaurant,Due,website,http://www.duenyc.com/
due west,Due West,resy,https://resy.com/cities/new-york-ny/venues/due-west
dun huang,Dun Huang - Long Island City,website,https://dhnoodles.com/
dun huang noodles,Dun Huang Noodles,website,https://www.dhnoodles.com/
